aX,aY,aZ,gX,gY,gZ
0.043,0.502,0.866,3.601,0.244,0.061
0.230,0.599,0.700,3.967,0.427,0.183
0.140,0.572,0.729,4.822,-0.549,0.244
0.112,0.545,0.794,5.005,-1.038,0.549
0.152,0.567,0.766,5.432,-1.587,0.671
0.142,0.568,0.762,5.676,-2.319,0.732
0.129,0.559,0.776,5.493,-2.502,0.793
0.135,0.561,0.774,5.066,-2.014,0.732
0.134,0.559,0.777,4.517,-1.221,0.366
0.144,0.560,0.782,4.150,-0.305,0.183
0.153,0.562,0.786,3.784,0.244,0.122
0.159,0.564,0.790,3.662,0.000,0.183
0.159,0.563,0.790,4.028,-0.732,0.427
0.152,0.563,0.787,4.272,-1.709,0.549
0.144,0.564,0.783,4.211,-2.258,0.793
0.139,0.563,0.778,4.028,-2.075,0.977
0.136,0.562,0.775,3.662,-1.465,1.160
0.133,0.558,0.776,2.991,-1.099,1.160
0.085,0.526,0.848,2.441,-0.854,1.221
0.242,0.620,0.666,2.563,-0.488,1.160
0.060,0.530,0.807,3.296,-1.221,1.221
0.131,0.543,0.812,3.662,-1.099,1.099
0.215,0.611,0.654,3.784,-1.282,0.854
0.029,0.504,0.850,3.967,-1.587,0.549
0.168,0.564,0.770,3.296,-0.732,0.610
0.191,0.600,0.668,3.052,-0.732,0.671
0.031,0.503,0.867,3.052,-0.488,0.671
0.201,0.583,0.741,3.052,-0.061,0.671
0.170,0.589,0.693,3.662,-0.854,0.549
0.039,0.498,0.879,3.906,-0.977,0.488
0.218,0.594,0.717,3.784,-0.854,0.549
0.135,0.571,0.726,3.967,-1.038,0.488
0.048,0.501,0.879,3.723,-0.671,0.244
0.231,0.606,0.692,3.113,-0.061,0.061
0.103,0.558,0.755,2.991,-0.427,-0.061
0.074,0.516,0.866,2.747,-0.183,-0.244
0.241,0.621,0.671,2.930,-0.122,-0.366
0.080,0.543,0.784,3.418,-0.793,-0.549
0.105,0.533,0.839,3.357,-0.427,-0.549
0.242,0.629,0.656,3.418,-0.366,-0.427
0.063,0.534,0.815,3.845,-0.732,-0.183
0.142,0.551,0.816,3.418,-0.549,0.244
0.238,0.623,0.659,3.601,-1.404,0.427
0.050,0.518,0.843,3.967,-2.258,0.488
0.170,0.569,0.785,4.150,-1.892,0.488
0.210,0.610,0.665,4.700,-2.258,0.488
0.037,0.506,0.864,4.639,-1.892,0.244
0.196,0.578,0.754,3.845,-0.916,0.244
0.186,0.598,0.685,3.723,-0.793,0.305
0.039,0.506,0.875,3.540,-0.305,0.366
0.217,0.593,0.731,3.174,0.427,0.610
0.152,0.581,0.732,3.052,0.183,0.671
0.114,0.550,0.792,3.174,0.000,1.099
0.147,0.563,0.770,3.235,-0.122,1.038
0.144,0.566,0.759,3.662,-0.488,0.793
0.135,0.559,0.768,3.784,-0.488,0.671
0.142,0.564,0.767,3.906,-0.488,0.488
0.138,0.562,0.765,3.906,-0.549,0.671
0.139,0.560,0.768,4.028,-0.427,0.671
0.141,0.561,0.770,3.845,-0.427,0.854
0.141,0.561,0.771,3.967,-0.671,0.854
0.140,0.562,0.771,3.967,-0.854,0.916
0.136,0.563,0.771,3.906,-1.282,1.038
0.135,0.560,0.771,3.906,-1.587,0.916
0.135,0.561,0.771,3.967,-1.404,0.671
0.134,0.561,0.770,3.662,-1.343,0.671
0.134,0.560,0.769,3.662,-1.099,0.610
0.132,0.558,0.767,3.601,-1.038,0.488
0.136,0.559,0.768,3.357,-0.916,0.061
0.138,0.562,0.766,3.174,-0.732,-0.122
