aX,aY,aZ,gX,gY,gZ
-0.109,0.289,0.840,3.723,-1.282,0.305
-0.206,0.209,1.036,3.540,-0.732,0.549
-0.092,0.266,0.913,2.869,-0.305,0.488
-0.127,0.279,0.861,2.747,-0.488,0.488
-0.199,0.204,1.041,2.869,-0.671,0.427
-0.081,0.277,0.882,2.930,-0.610,0.244
-0.149,0.269,0.885,3.418,-1.099,0.122
-0.190,0.207,1.039,3.601,-1.099,-0.061
-0.072,0.288,0.856,3.540,-0.977,-0.305
-0.164,0.258,0.917,3.845,-1.038,-0.366
-0.166,0.218,1.032,3.906,-0.793,-0.061
-0.065,0.302,0.838,3.723,-0.671,0.000
-0.176,0.249,0.951,3.662,-0.549,0.183
-0.147,0.232,1.013,3.418,-0.061,0.488
-0.070,0.310,0.829,3.479,-0.183,0.488
-0.193,0.238,0.985,3.906,-0.610,0.427
-0.128,0.243,0.990,3.784,-0.732,0.488
-0.084,0.304,0.829,3.662,-1.282,0.671
-0.203,0.218,1.012,3.723,-1.221,0.793
-0.111,0.247,0.954,3.357,-0.854,0.916
-0.104,0.291,0.830,3.418,-0.793,0.854
-0.208,0.208,1.024,3.479,-0.854,0.671
-0.097,0.256,0.918,3.418,-0.488,0.488
-0.124,0.281,0.848,3.845,-0.916,0.061
-0.204,0.203,1.039,4.211,-0.854,0.061
-0.084,0.267,0.894,4.028,-0.610,0.000
-0.141,0.269,0.877,3.967,-0.793,-0.061
-0.194,0.203,1.044,3.601,-0.549,0.000
-0.075,0.283,0.869,2.930,0.000,0.061
-0.158,0.263,0.907,2.747,0.122,0.061
-0.178,0.215,1.036,2.625,0.366,0.122
-0.069,0.300,0.844,2.441,0.366,0.244
-0.175,0.254,0.938,2.808,-0.122,0.244
-0.156,0.222,1.020,2.991,-0.061,0.122
-0.071,0.302,0.830,3.052,-0.305,0.061
-0.190,0.234,0.971,3.418,-0.732,0.000
-0.136,0.231,0.997,3.174,-0.610,-0.122
-0.077,0.301,0.826,3.235,-0.793,-0.061
-0.198,0.222,1.000,3.174,-1.221,-0.061
-0.114,0.247,0.963,2.808,-0.977,0.000
-0.093,0.300,0.825,2.747,-0.977,0.122
-0.203,0.218,1.020,3.052,-0.916,0.244
-0.098,0.263,0.932,2.930,-0.488,0.305
-0.111,0.292,0.842,3.235,-0.793,0.427
-0.202,0.213,1.036,3.296,-0.854,0.427
-0.085,0.275,0.903,3.174,-0.732,0.366
-0.130,0.281,0.867,3.357,-1.038,0.244
-0.192,0.210,1.045,3.479,-0.916,0.427
-0.074,0.286,0.874,3.113,-0.793,0.244
-0.150,0.271,0.894,3.052,-1.099,0.244
-0.181,0.213,1.037,3.113,-0.977,0.122
-0.069,0.295,0.848,3.052,-0.671,0.183
-0.170,0.257,0.921,3.418,-0.854,0.183
-0.165,0.220,1.023,3.418,-0.793,0.061
-0.068,0.302,0.829,3.662,-0.977,0.122
-0.183,0.242,0.954,3.906,-1.221,0.183
-0.145,0.227,1.004,4.089,-1.038,0.366
-0.078,0.302,0.823,4.272,-1.038,0.488
-0.201,0.230,0.986,4.028,-1.099,0.427
-0.127,0.242,0.977,3.784,-0.366,0.427
-0.089,0.302,0.826,3.845,-0.427,0.305
-0.204,0.220,1.016,3.967,-0.732,0.061
-0.102,0.255,0.951,3.845,-0.549,-0.122
-0.098,0.293,0.843,3.906,-0.977,-0.061
-0.198,0.210,1.040,3.906,-1.221,0.122
-0.083,0.264,0.921,3.540,-0.916,0.122
-0.117,0.283,0.862,3.418,-1.160,0.244
-0.197,0.211,1.045,3.418,-1.404,0.488
-0.080,0.279,0.885,2.991,-1.160,0.793
-0.148,0.275,0.879,2.991,-1.404,0.610
-0.194,0.213,1.037,2.991,-1.038,0.610
-0.074,0.288,0.853,3.113,-0.610,0.488
-0.165,0.259,0.907,3.357,-0.916,0.427
-0.172,0.212,1.028,3.357,-0.671,0.305
-0.068,0.294,0.837,3.357,-0.366,0.305
-0.179,0.245,0.944,3.540,-0.549,0.244
-0.150,0.222,1.017,3.540,-0.305,0.183
-0.069,0.304,0.831,3.479,-0.488,0.122
-0.193,0.238,0.980,3.479,-1.160,0.061
-0.132,0.242,0.992,3.235,-1.160,0.122
-0.084,0.307,0.825,3.357,-1.343,0.122
-0.203,0.226,1.007,3.601,-1.404,0.061
-0.112,0.253,0.960,3.540,-0.916,-0.061
-0.093,0.300,0.833,3.479,-1.160,0.183
-0.200,0.218,1.028,3.601,-1.099,0.305
-0.097,0.264,0.927,3.418,-0.732,0.488
-0.119,0.288,0.846,3.235,-0.854,0.793
-0.206,0.209,1.038,3.052,-0.671,0.671
-0.086,0.272,0.892,2.747,-0.427,0.488
-0.136,0.277,0.863,2.869,-0.732,0.183
-0.192,0.211,1.033,2.930,-0.488,0.122
-0.072,0.287,0.862,3.479,-0.366,0.244
-0.153,0.267,0.894,4.028,-0.854,0.366
-0.179,0.213,1.032,4.211,-0.916,0.305
-0.069,0.297,0.844,4.211,-0.671,0.244
-0.170,0.253,0.935,4.395,-1.099,0.000
-0.159,0.221,1.026,4.395,-0.854,0.000
-0.069,0.302,0.835,4.211,-0.916,0.122
-0.187,0.239,0.966,4.028,-1.160,0.244
-0.143,0.233,1.000,3.418,-0.793,0.305
-0.080,0.302,0.822,3.113,-0.671,0.427
-0.202,0.227,0.992,3.174,-0.732,0.427
-0.122,0.244,0.969,3.113,-0.244,0.427
-0.093,0.298,0.825,3.296,-0.427,0.427
-0.207,0.216,1.018,3.479,-0.732,0.305
-0.103,0.256,0.940,3.662,-0.549,0.122
-0.110,0.288,0.842,4.089,-1.038,0.061
-0.209,0.210,1.038,4.272,-1.404,0.000
-0.089,0.267,0.911,4.089,-1.221,-0.122
-0.128,0.279,0.868,4.211,-1.099,-0.244
-0.193,0.210,1.048,3.662,-0.916,-0.305
-0.070,0.283,0.883,3.113,-0.671,-0.305
-0.139,0.275,0.891,2.930,-0.854,-0.122
-0.177,0.219,1.040,2.869,-0.671,0.122
-0.064,0.302,0.852,3.052,-0.793,0.183
-0.162,0.269,0.918,3.479,-1.282,0.244
-0.166,0.227,1.028,3.784,-1.160,0.366
-0.067,0.306,0.835,3.967,-1.160,0.427
-0.182,0.247,0.952,4.089,-1.160,0.732
-0.150,0.226,1.006,3.723,-0.427,0.854
-0.075,0.303,0.822,3.357,-0.244,0.916
-0.198,0.229,0.978,3.235,-0.366,0.793
-0.131,0.238,0.974,3.296,0.000,0.671
-0.090,0.299,0.817,3.662,-0.183,0.732
-0.206,0.215,1.005,3.906,-0.549,0.549
-0.111,0.246,0.949,3.967,-0.427,0.427
-0.103,0.288,0.835,4.028,-0.732,0.244
-0.207,0.207,1.033,4.028,-0.671,0.122
-0.094,0.262,0.922,3.967,-0.244,0.122
-0.121,0.283,0.859,3.479,-0.244,0.244
-0.200,0.212,1.048,3.296,-0.122,0.061
-0.079,0.280,0.896,3.174,-0.061,0.000
-0.138,0.278,0.888,3.479,-0.488,0.122
-0.186,0.211,1.051,3.418,-0.732,0.122
-0.067,0.288,0.870,3.357,-0.916,0.183
-0.155,0.262,0.915,3.296,-1.282,0.122
-0.170,0.215,1.039,3.113,-1.343,0.122
-0.068,0.300,0.842,3.052,-1.282,0.061
-0.180,0.252,0.938,2.991,-1.526,0.305
-0.158,0.223,1.013,2.747,-1.160,0.305
-0.073,0.304,0.820,2.563,-0.916,0.183
-0.193,0.237,0.964,2.869,-0.916,0.000
-0.136,0.236,0.983,2.930,-0.427,-0.061
-0.080,0.304,0.814,3.113,-0.549,-0.122
-0.201,0.225,0.993,3.357,-0.916,-0.305
-0.114,0.250,0.953,3.479,-0.610,-0.305
-0.093,0.301,0.821,3.784,-0.854,-0.305
-0.202,0.221,1.019,4.089,-0.610,-0.244
-0.096,0.268,0.926,3.845,-0.122,-0.061
-0.108,0.297,0.843,4.028,-0.366,0.183
-0.198,0.217,1.038,3.906,-0.244,0.427
-0.082,0.279,0.902,3.967,-0.305,0.488
-0.130,0.284,0.870,4.333,-0.610,0.427
-0.192,0.215,1.049,4.456,-0.732,0.427
-0.070,0.286,0.880,4.272,-0.732,0.549
-0.150,0.268,0.902,4.395,-1.160,0.610
-0.181,0.211,1.042,4.028,-0.977,0.610
-0.069,0.293,0.851,3.723,-0.671,0.549
-0.171,0.252,0.931,3.662,-0.854,0.488
-0.164,0.218,1.025,3.479,-0.549,0.305
-0.073,0.301,0.831,3.479,-0.610,0.366
-0.187,0.238,0.961,3.845,-1.099,0.244
-0.141,0.227,1.003,3.967,-1.038,0.061
-0.074,0.303,0.824,4.028,-1.221,0.000
-0.198,0.229,0.993,3.906,-1.343,0.000
-0.123,0.246,0.974,3.479,-0.854,0.366
-0.090,0.304,0.826,3.479,-0.916,0.427
-0.202,0.221,1.017,3.540,-1.282,0.244
-0.100,0.261,0.943,3.662,-1.099,0.122
-0.101,0.296,0.840,4.211,-1.465,0.183
-0.201,0.214,1.036,4.211,-1.648,0.183
-0.087,0.268,0.912,3.845,-1.160,0.549
-0.124,0.282,0.858,3.662,-0.977,0.610
-0.198,0.209,1.042,3.296,-0.732,0.610
-0.077,0.280,0.880,2.991,-0.183,0.549
-0.146,0.273,0.882,3.174,-0.671,0.793
-0.188,0.210,1.038,3.357,-0.671,0.732
-0.072,0.289,0.852,3.357,-0.610,0.610
-0.168,0.259,0.914,3.662,-0.916,0.305
-0.172,0.214,1.033,3.784,-0.610,0.366
-0.069,0.298,0.840,3.540,-0.305,0.427
-0.177,0.245,0.953,3.601,-0.793,0.183
-0.144,0.226,1.013,3.357,-0.732,0.305
-0.070,0.309,0.828,3.479,-0.977,0.427
-0.194,0.236,0.984,4.028,-1.465,0.305
-0.131,0.243,0.987,3.967,-1.221,0.366
-0.085,0.306,0.825,3.845,-1.465,0.427
-0.207,0.225,1.007,3.784,-1.404,0.244
-0.112,0.254,0.951,3.418,-0.854,0.427
-0.101,0.296,0.828,3.357,-0.793,0.488
-0.206,0.214,1.022,3.418,-0.610,0.427
-0.093,0.264,0.917,3.357,0.000,0.427
-0.116,0.289,0.845,3.723,-0.305,0.366
-0.196,0.211,1.036,4.211,-0.610,0.427
-0.079,0.277,0.889,4.272,-0.793,0.488
-0.137,0.277,0.875,4.578,-1.282,0.610
-0.191,0.208,1.044,4.639,-1.282,0.671
-0.072,0.285,0.868,4.395,-0.916,0.366
-0.156,0.262,0.907,4.456,-1.221,0.244
-0.176,0.211,1.038,4.272,-1.038,0.122
-0.068,0.293,0.845,3.784,-0.977,0.183
-0.175,0.250,0.935,3.723,-0.977,0.366
-0.166,0.223,1.014,3.296,-0.610,0.549
-0.081,0.304,0.823,2.991,-0.305,0.732
-0.197,0.237,0.961,3.174,-0.244,0.732
-0.142,0.232,0.990,2.991,0.183,0.305
-0.080,0.302,0.819,3.418,-0.305,0.061
-0.201,0.221,0.996,4.211,-0.916,-0.122
-0.121,0.241,0.967,4.517,-1.160,-0.244
-0.098,0.294,0.830,4.639,-1.587,-0.488
-0.207,0.213,1.028,4.761,-1.648,-0.610
-0.097,0.260,0.942,4.333,-0.793,-0.732
-0.104,0.294,0.850,4.150,-0.793,-0.366
-0.196,0.219,1.045,3.601,-0.610,0.061
-0.078,0.280,0.909,3.479,-0.549,0.244
-0.125,0.291,0.871,3.845,-1.099,0.305
-0.187,0.215,1.051,4.211,-1.221,0.488
-0.068,0.288,0.881,4.089,-1.282,0.549
-0.144,0.275,0.897,4.089,-1.709,0.549
-0.181,0.216,1.040,3.906,-1.648,0.793
-0.071,0.294,0.849,3.235,-1.343,1.160
-0.171,0.254,0.918,3.235,-1.099,1.221
-0.170,0.215,1.017,3.113,-0.610,1.221
-0.076,0.298,0.822,2.930,-0.427,1.038
-0.190,0.235,0.945,3.418,-0.488,0.854
-0.150,0.220,0.995,3.662,-0.244,0.671
-0.082,0.296,0.814,3.845,-0.366,0.427
-0.203,0.220,0.979,4.211,-0.671,0.122
-0.130,0.235,0.972,4.272,-0.183,0.000
-0.092,0.297,0.825,4.517,-0.183,-0.122
-0.207,0.214,1.018,4.700,-0.427,0.061
-0.107,0.252,0.957,4.456,0.000,0.122
-0.101,0.292,0.851,4.517,-0.366,-0.122
-0.198,0.209,1.050,4.456,-0.549,-0.122
-0.086,0.266,0.934,3.906,-0.610,0.000
-0.119,0.285,0.872,3.662,-1.282,0.061
-0.197,0.212,1.053,3.296,-1.282,-0.061
-0.079,0.283,0.892,2.747,-1.038,0.183
-0.144,0.277,0.884,2.563,-1.343,0.427
-0.188,0.211,1.040,2.625,-0.977,0.427
-0.071,0.288,0.856,2.380,-0.732,0.122
-0.158,0.257,0.906,2.869,-1.038,-0.061
-0.169,0.209,1.023,3.235,-1.221,0.000
-0.068,0.295,0.828,3.296,-1.343,0.000
-0.181,0.245,0.933,3.845,-1.465,-0.122
-0.159,0.225,1.003,4.028,-0.977,-0.122
-0.076,0.306,0.817,3.784,-0.793,0.061
-0.197,0.236,0.968,4.028,-0.671,0.183
-0.136,0.238,0.983,3.967,-0.183,0.244
-0.083,0.305,0.820,4.211,-0.183,0.183
-0.199,0.225,1.008,4.211,-0.183,0.000
-0.108,0.253,0.965,4.089,-0.183,0.000
-0.092,0.301,0.840,4.211,-0.793,0.244
-0.201,0.218,1.038,4.211,-1.038,0.549
-0.095,0.264,0.936,4.028,-0.977,0.610
-0.116,0.288,0.856,4.089,-1.282,0.610
-0.202,0.209,1.046,3.967,-1.160,0.610
-0.082,0.271,0.899,3.540,-0.854,0.610
-0.134,0.273,0.873,3.723,-1.038,0.427
-0.194,0.204,1.042,3.906,-1.038,0.366
-0.077,0.280,0.865,3.723,-0.977,0.305
-0.159,0.260,0.896,3.723,-1.221,0.122
-0.182,0.208,1.030,3.601,-0.732,0.000
-0.072,0.293,0.837,3.723,-0.488,-0.061
-0.175,0.253,0.922,3.967,-0.549,0.000
-0.161,0.221,1.014,4.211,-0.061,-0.061
-0.068,0.302,0.825,4.395,-0.122,-0.061
-0.184,0.237,0.963,4.822,-0.549,0.000
-0.135,0.229,1.000,4.761,-0.244,0.244
-0.073,0.302,0.828,4.822,-0.305,0.183
-0.195,0.225,1.002,4.944,-0.488,0.427
-0.119,0.243,0.979,4.639,-0.549,0.610
-0.096,0.300,0.834,4.211,-0.793,0.610
-0.210,0.216,1.026,3.906,-0.854,0.916
-0.104,0.254,0.945,3.479,-0.244,0.854
-0.107,0.288,0.851,3.601,-0.366,0.671
-0.198,0.206,1.047,3.601,-0.549,0.793
-0.084,0.263,0.918,3.357,-0.610,0.793
-0.130,0.276,0.872,3.540,-1.404,0.671
-0.201,0.202,1.053,3.479,-1.465,0.671
-0.083,0.273,0.886,3.052,-1.282,0.427
-0.153,0.264,0.895,2.808,-1.343,0.305
-0.188,0.206,1.044,2.441,-0.854,-0.061
-0.069,0.290,0.855,1.953,-0.610,-0.122
-0.164,0.258,0.917,2.258,-0.916,-0.061
-0.166,0.219,1.023,2.441,-0.916,0.000
-0.066,0.302,0.828,2.869,-1.282,-0.122
-0.178,0.245,0.947,3.906,-1.770,-0.122
-0.145,0.227,1.002,4.028,-1.770,-0.122
-0.071,0.305,0.818,3.906,-1.892,-0.122
-0.194,0.231,0.978,4.150,-1.831,0.305
-0.126,0.240,0.977,4.028,-1.160,0.488
-0.085,0.305,0.821,4.089,-0.916,0.671
-0.205,0.223,1.009,4.028,-0.488,0.732
-0.110,0.253,0.951,3.845,0.061,0.854
-0.102,0.295,0.836,3.784,-0.244,0.854
-0.204,0.211,1.033,3.906,-0.488,0.549
-0.092,0.260,0.925,4.028,-0.427,0.427
-0.118,0.279,0.860,4.211,-0.732,0.366
-0.200,0.203,1.051,4.028,-0.793,0.488
-0.081,0.271,0.900,3.540,-0.549,0.549
